Addr|Value|IP|CR|AR|DR|SP|BR|AC|PS|NZVC|Addr|Value
004|0200|004|0000|000|0000|000|0000|0000|004|0100
004|0200|005|0200|004|0200|000|0004|0000|004|0100
005|EEFD|006|EEFD|003|0000|000|FFFD|0000|004|0100|003|0000
006|AEF9|007|AEF9|000|F2FB|000|FFF9|F2FB|008|1000
007|0700|008|0700|007|0700|000|0007|F2FC|008|1000
008|0C00|009|0C00|7FF|F2FC|7FF|0008|F2FC|008|1000|7FF|F2FC
009|DE76|080|DE76|7FE|000A|7FE|0080|F2FC|008|1000|7FE|000A
080|AC01|081|AC01|7FF|F2FC|7FE|0001|F2FC|008|1000
081|F001|082|F001|081|F001|7FE|0081|F2FC|008|1000
082|F308|083|F308|082|F308|7FE|0082|F2FC|008|1000
083|7E0A|084|7E0A|08E|F498|7FE|000A|F2FC|008|1000
084|F806|08B|F806|084|F806|7FE|0006|F2FC|008|1000
08B|AE02|08C|AE02|08E|F498|7FE|0002|F498|008|1000
08C|EC01|08D|EC01|7FF|F498|7FE|0001|F498|008|1000|7FF|F498
08D|0A00|00A|0A00|7FE|000A|7FF|008D|F498|008|1000
00A|0800|00B|0800|7FF|F498|000|000A|F498|008|1000
00B|0740|00C|0740|00B|0740|000|000B|F497|009|1001
00C|6EF6|00D|6EF6|003|0000|000|FFF6|F497|009|1001
00D|EEF5|00E|EEF5|003|F497|000|FFF5|F497|009|1001|003|F497
00E|AEF2|00F|AEF2|001|000D|000|FFF2|000D|001|0001
00F|0740|010|0740|00F|0740|000|000F|000C|001|0001
010|0C00|011|0C00|7FF|000C|7FF|0010|000C|001|0001|7FF|000C
011|DE6E|080|DE6E|7FE|0012|7FE|0080|000C|001|0001|7FE|0012
080|AC01|081|AC01|7FF|000C|7FE|0001|000C|001|0001
081|F001|082|F001|081|F001|7FE|0081|000C|001|0001
082|F308|08B|F308|082|F308|7FE|0008|000C|001|0001
08B|AE02|08C|AE02|08E|F498|7FE|0002|F498|009|1001
08C|EC01|08D|EC01|7FF|F498|7FE|0001|F498|009|1001|7FF|F498
08D|0A00|012|0A00|7FE|0012|7FF|008D|F498|009|1001
012|0800|013|0800|7FF|F498|000|0012|F498|009|1001
013|6EEF|014|6EEF|003|F497|000|FFEF|0001|001|0001
014|EEEE|015|EEEE|003|0001|000|FFEE|0001|001|0001|003|0001
015|AEEC|016|AEEC|002|FFEE|000|FFEC|FFEE|009|1001
016|0C00|017|0C00|7FF|FFEE|7FF|0016|FFEE|009|1001|7FF|FFEE
017|DE68|080|DE68|7FE|0018|7FE|0080|FFEE|009|1001|7FE|0018
080|AC01|081|AC01|7FF|FFEE|7FE|0001|FFEE|009|1001
081|F001|082|F001|081|F001|7FE|0081|FFEE|009|1001
082|F308|083|F308|082|F308|7FE|0082|FFEE|009|1001
083|7E0A|084|7E0A|08E|F498|7FE|000A|FFEE|001|0001
084|F806|085|F806|084|F806|7FE|0084|FFEE|001|0001
085|F005|086|F005|085|F005|7FE|0085|FFEE|001|0001
086|0500|087|0500|086|FFEE|7FE|0086|FFDC|009|1001
087|0500|088|0500|087|FFDC|7FE|0087|FFB8|009|1001
088|4C01|089|4C01|7FF|FFEE|7FE|0001|FFA6|009|1001
089|6E05|08A|6E05|08F|00E8|7FE|0005|FEBE|009|1001
08A|CE01|08C|CE01|08A|008C|7FE|0001|FEBE|009|1001
08C|EC01|08D|EC01|7FF|FEBE|7FE|0001|FEBE|009|1001|7FF|FEBE
08D|0A00|018|0A00|7FE|0018|7FF|008D|FEBE|009|1001
018|0800|019|0800|7FF|FEBE|000|0018|FEBE|009|1001
019|4EE9|01A|4EE9|003|0001|000|FFE9|FEBF|008|1000
01A|EEE8|01B|EEE8|003|FEBF|000|FFE8|FEBF|008|1000|003|FEBF
01B|0100|01C|0100|01B|0100|000|001B|FEBF|008|1000
